time,channel_a
2024-01-28T09:12:44.531252-08:00,0.22632408240649787
2024-01-28T09:12:45.531252-08:00,0.2507473982956536
2024-01-28T09:12:46.531252-08:00,0.569768335603046
2024-01-28T09:12:47.531252-08:00,0.11603978260515428
2024-01-28T09:12:48.531252-08:00,0.7769021894063354
2024-01-28T09:12:49.531252-08:00,0.925130023325051
2024-01-28T09:12:50.531252-08:00,0.5742981300587023
2024-01-28T09:12:51.531252-08:00,0.5838714673841429
2024-01-28T09:12:52.531252-08:00,0.6445476967910116
2024-01-28T09:12:53.531252-08:00,0.6168050494395134
2024-01-28T09:12:54.531252-08:00,0.7069942145640749
2024-01-28T09:12:55.531252-08:00,0.22707879474976028
2024-01-28T09:12:56.531252-08:00,0.957768388142448
2024-01-28T09:12:57.531252-08:00,0.6144049192190292
2024-01-28T09:12:58.531252-08:00,0.0873028949386201
2024-01-28T09:12:59.531252-08:00,0.3039485218345719
2024-01-28T09:13:00.531252-08:00,0.22851326936800914
2024-01-28T09:13:01.531252-08:00,0.16260281000247712
2024-01-28T09:13:02.531252-08:00,0.09552401779445857
2024-01-28T09:13:03.531252-08:00,0.9537078296985912
2024-01-28T09:13:04.531252-08:00,0.9122053160758067
2024-01-28T09:13:05.531252-08:00,0.7902955646688254
