time,channel_b
2024-01-28T09:12:45.531252-08:00,0.89109795898564
2024-01-28T09:12:46.531252-08:00,0.9309029570727708
2024-01-28T09:12:47.531252-08:00,0.41736205389867254
2024-01-28T09:12:48.531252-08:00,0.7757735001457383
2024-01-28T09:12:49.531252-08:00,0.42276349070729996
2024-01-28T09:12:50.531252-08:00,0.9705230086382642
2024-01-28T09:12:51.531252-08:00,0.734441844952279
2024-01-28T09:12:52.531252-08:00,0.1391787659779769
2024-01-28T09:12:53.531252-08:00,0.8297404689121078
2024-01-28T09:12:54.531252-08:00,0.3378370313101441
2024-01-28T09:12:56.531252-08:00,0.5828578086789715
2024-01-28T09:12:57.531252-08:00,0.40521655584043825
2024-01-28T09:12:58.531252-08:00,0.7945760115108459
2024-01-28T09:12:59.531252-08:00,0.20324861252254495
2024-01-28T09:13:00.531252-08:00,0.8613288704162841
2024-01-28T09:13:01.531252-08:00,0.3912526730822837
2024-01-28T09:13:02.531252-08:00,0.6454147210017829
2024-01-28T09:13:03.531252-08:00,0.7354322452008073
2024-01-28T09:13:04.531252-08:00,0.9664717997673006
